[2026-07-22 21:41:14.322]	   "tmux-prefix-highlight" update success
[2026-07-22 21:41:14.324]	     | 已经是最新的。
[2026-07-22 21:41:14.342]	   "tmux-continuum" update success
[2026-07-22 21:41:14.344]	     | 已经是最新的。
[2026-07-22 21:41:14.367]	   "tmux" update success
[2026-07-22 21:41:14.369]	     | 已经是最新的。
[2026-07-22 21:41:14.374]	   "tmux-sensible" update success
[2026-07-22 21:41:14.376]	     | 已经是最新的。
[2026-07-22 21:41:14.389]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 21:41:14.437]	 Done.

